num,red,green,blue
0,6179,1407,683
1,6105,1406,669
2,6119,1404,675
3,6107,1406,669
4,6121,1411,677
5,6073,1400,677
6,6146,1410,685
7,6099,1418,683
8,6130,1409,668
9,6092,1413,679
10,6123,1409,683
11,6112,1398,671
12,6114,1410,684
13,6094,1411,683
14,6142,1411,668
15,6131,1417,684
16,6114,1411,679
17,6126,1411,683
18,6110,1413,683
19,6093,1399,677
20,6141,1406,685
21,6109,1413,676
22,6164,1415,685
23,6152,1405,668
24,6161,1406,679
25,6150,1409,670
26,6139,1412,678
27,6131,1411,677
28,6141,1411,679
29,6139,1412,676
30,6134,1407,678
31,6149,1407,677
32,6106,1418,685
33,6201,1412,685
34,6143,1420,684
35,6178,1411,685
36,6154,1420,684
37,6197,1412,684
38,6160,1421,685
39,6132,1414,671
40,6172,1400,685
41,6144,1419,681
42,6160,1412,678
43,6164,1407,675
44,6146,1402,670
45,6166,1406,668
46,6152,1408,679
47,6156,1412,675
48,6148,1404,678
49,6186,1406,669
50,6147,1409,676
51,6169,1399,670
52,6139,1416,674
53,6153,1413,685
54,6134,1414,669
55,6130,1413,679
56,6151,1412,679
57,6143,1411,679
58,6148,1416,678
59,6135,1412,679
60,6152,1412,678
61,6138,1415,686
62,6142,1397,670
63,6138,1412,676
64,6119,1408,680
65,6159,1407,682
66,6137,1414,678
67,6186,1413,677
68,6149,1415,677
69,6137,1409,685
70,6149,1410,669
71,6166,1409,675
72,6187,1409,670
73,6200,1411,674
74,6188,1400,671
75,6215,1405,675
76,6217,1414,678
77,6228,1401,678
78,6245,1421,674
79,6250,1416,680
80,6222,1423,677
81,6245,1417,685
82,6258,1414,680
83,6264,1417,671
84,6202,1420,680
85,6244,1403,670
86,6224,1408,672
87,6242,1400,672
88,6228,1409,671
89,6184,1415,681
90,6231,1398,679
91,6196,1408,684
92,6187,1402,672
93,6235,1406,678
94,6200,1417,669
95,6233,1396,671
96,6194,1404,679
97,6200,1412,685
98,6212,1414,686
99,6204,1421,684
100,6183,1407,679
101,6219,1398,680
102,6212,1414,680
103,6188,1407,687
104,6222,1403,679
105,6216,1411,679
106,6185,1415,685
107,6191,1420,687
108,6210,1400,680
109,6215,1419,676
110,6194,1403,681
111,6218,1404,686
112,6219,1406,673
113,6194,1418,680
114,6221,1415,680
115,6214,1414,680
116,6210,1410,685
117,6217,1403,685
118,6181,1412,686
119,6216,1420,688
120,6181,1402,679
121,6239,1405,681
122,6204,1413,674
123,6203,1401,680
124,6215,1411,678
125,6197,1401,678
126,6201,1403,679
127,6222,1405,678
128,6191,1415,671
129,6209,1416,685
130,6214,1410,672
131,6231,1403,683
132,6188,1407,671
