num,red,green,blue
0,27313,63152,62005
1,27361,63059,61939
2,27309,62834,61904
3,27279,63112,61821
4,27304,63451,61707
5,26826,62643,61495
6,27124,62709,61314
7,26714,62720,61392
8,27049,62563,61484
9,26869,62843,61670
10,26732,62849,61266
11,26818,62619,61720
12,26593,62691,61099
13,26486,62077,60889
14,26301,62453,61516
15,26435,62821,60815
16,26244,61767,60387
17,26326,62179,59937
18,25806,61129,59390
19,25870,61200,60096
20,26508,64835,64034
21,27441,65316,64296
22,27539,64833,63610
23,26727,64054,62909
24,26711,63476,62038
25,26798,62106,60756
26,26566,61980,60356
27,26572,61969,61133
28,26592,62221,60780
29,26634,61812,60733
30,26221,61773,60827
31,26324,62044,61020
32,26461,62383,61270
