num,red,green,blue
0,1754,846,2152
1,1748,844,2142
2,1743,848,2141
3,1736,846,2134
4,1736,842,2141
5,1739,847,2139
6,1743,847,2138
7,1742,849,2147
8,1747,847,2144
9,1749,847,2129
10,1752,850,2142
11,1751,847,2130
12,1743,845,2145
13,1758,846,2143
14,1749,848,2139
15,1748,845,2154
16,1752,846,2154
17,1760,849,2140
18,1763,849,2152
19,1757,846,2143
20,1748,850,2153
21,1762,845,2143
22,1747,849,2140
23,1741,854,2152
24,1750,847,2151
25,1752,841,2135
26,1732,847,2140
27,1737,846,2130
28,1737,843,2145
29,1745,846,2139
30,1734,853,2128
31,1742,845,2139
32,1747,849,2150
33,1746,844,2132
34,1742,849,2143
35,1744,845,2136
36,1736,846,2147
37,1759,848,2150
38,1753,848,2147
39,1748,852,2155
40,1758,849,2157
41,1759,841,2142
42,1751,846,2143
43,1758,846,2145
44,1743,843,2149
45,1747,848,2144
46,1743,854,2139
47,1733,846,2144
48,1756,849,2152
49,1750,843,2142
50,1738,855,2143
51,1747,849,2133
52,1739,847,2144
53,1749,850,2140
54,1747,851,2134
55,1747,849,2150
56,1751,846,2153
57,1752,842,2141
58,1750,846,2152
59,1755,844,2143
60,1747,843,2153
61,1766,848,2151
62,1757,848,2146
63,1748,846,2152
64,1752,844,2143
65,1747,847,2137
66,1744,848,2145
67,1746,846,2137
68,1731,844,2140
69,1744,846,2132
70,1739,849,2130
71,1738,851,2145
72,1748,845,2140
73,1748,841,2134
74,1732,853,2140
75,1752,847,2136
76,1737,847,2140
77,1750,855,2132
78,1752,848,2132
79,1740,844,2145
80,1744,845,2140
81,1755,841,2137
82,1746,844,2154
83,1753,842,2143
84,1748,842,2151
85,1754,852,2146
86,1762,848,2145
87,1755,843,2151
88,1766,849,2153
89,1753,844,2138
90,1735,843,2138
91,1747,852,2141
92,1743,846,2147
93,1757,851,2137
94,1737,850,2128
95,1735,841,2134
96,1746,846,2135
97,1737,842,2127
98,1739,845,2140
99,1746,847,2140
100,1751,852,2133
101,1751,853,2140
102,1743,852,2136
103,1740,852,2149
104,1751,848,2148
105,1770,847,2146
106,1744,847,2151
107,1755,844,2149
108,1762,846,2154
109,1764,849,2148
110,1759,847,2141
111,1748,842,2146
112,1747,846,2140
113,1741,852,2132
114,1744,847,2145
115,1743,845,2140
116,1733,848,2132
117,1744,847,2131
118,1740,846,2134
119,1735,846,2137
120,1747,845,2134
121,1745,851,2138
122,1750,860,2159
123,1760,852,2149
124,1753,847,2147
125,1754,848,2156
126,1757,847,2148
127,1751,842,2151
128,1767,847,2158
129,1766,848,2152
130,1751,847,2155
131,1752,852,2142
132,1739,843,2143
133,1740,844,2137
134,1740,854,2128
135,1744,847,2139
136,1738,847,2131
137,1743,850,2122
138,1735,845,2139
139,1734,841,2135
140,1735,844,2145
141,1755,850,2141
142,1742,849,2131
143,1738,844,2140
144,1744,847,2136
145,1741,845,2130
146,1734,844,2136
147,1744,844,2137
148,1751,840,2132
149,1719,844,2137
150,1747,839,2126
151,1719,839,2137
152,1751,842,2133
153,1734,844,2131
154,1738,838,2139
155,1728,845,2122
156,1726,840,2128
157,1726,841,2139
158,1741,842,2140
159,1743,837,2131
160,1741,841,2141
161,1745,840,2139
162,1729,838,2141
163,1739,843,2133
164,1731,840,2131
165,1742,837,2143
166,1750,843,2142
167,1736,845,2134
168,1734,842,2146
169,1743,847,2137
170,1751,838,2138
171,1734,851,2142
172,1752,842,2132
173,1736,846,2138
174,1747,843,2139
175,1734,849,2129
176,1733,837,2139
177,1729,846,2113
178,1728,839,2118
179,1735,837,2136
180,1737,840,2132
181,1744,836,2123
182,1732,845,2129
183,1738,838,2133
184,1742,838,2134
185,1746,844,2139
186,1750,848,2131
187,1744,840,2146
188,1754,844,2142
189,1747,855,2142
190,1738,848,2146
191,1740,845,2139
192,1736,842,2131
193,1738,845,2135
194,1722,843,2124
195,1727,841,2131
196,1738,843,2129
197,1739,853,2133
198,1747,847,2146
199,1740,849,2148
200,1746,850,2124
201,1750,848,2145
202,1747,845,2135
203,1732,845,2143
204,1750,846,2143
205,1743,847,2139
206,1744,841,2153
207,1748,843,2147
208,1757,846,2142
209,1755,845,2154
210,1761,845,2145
211,1751,844,2153
212,1759,846,2150
213,1751,846,2136
214,1741,843,2143
215,1749,850,2141
216,1752,845,2135
217,1733,845,2139
218,1741,851,2129
219,1741,845,2141
220,1734,847,2138
221,1733,853,2123
222,1742,844,2139
223,1741,848,2135
224,1742,845,2127
225,1742,848,2145
226,1739,852,2140
227,1745,842,2137
228,1742,847,2135
229,1736,845,2132
230,1733,839,2148
231,1740,850,2131
232,1750,845,2144
233,1741,844,2150
234,1756,844,2149
235,1755,839,2139
236,1744,852,2143
237,1761,844,2137
238,1741,840,2141
239,1760,845,2139
240,1745,847,2134
241,1741,843,2140
242,1756,845,2138
243,1736,838,2123
244,1728,844,2136
245,1745,841,2138
246,1732,841,2140
247,1734,845,2133
248,1731,850,2123
249,1730,841,2135
