num,red,green,blue
0,574,1172,1859
1,575,1203,1864
2,574,1202,1867
3,585,1202,1864
4,582,1188,1869
5,582,1192,1891
6,580,1194,1856
7,573,1196,1872
8,577,1211,1868
9,579,1196,1878
10,575,1190,1863
11,585,1198,1881
12,581,1188,1858
13,582,1190,1859
14,574,1182,1853
15,576,1197,1877
16,576,1210,1879
17,583,1206,1887
18,582,1185,1841
19,582,1183,1859
20,576,1196,1872
21,575,1206,1875
22,575,1195,1863
23,579,1192,1856
24,581,1187,1864
25,580,1193,1861
26,573,1188,1874
27,574,1203,1855
28,577,1186,1855
29,580,1182,1852
30,582,1180,1869
31,574,1195,1865
32,578,1202,1869
33,575,1189,1845
34,577,1176,1863
35,580,1177,1849
36,576,1187,1871
37,574,1200,1847
38,582,1166,1846
39,572,1181,1837
40,574,1174,1857
41,580,1178,1848
42,576,1187,1856
43,576,1197,1867
44,576,1210,1875
45,580,1189,1854
46,582,1186,1870
47,575,1199,1855
48,575,1204,1876
49,576,1214,1872
50,573,1199,1865
51,580,1180,1857
52,579,1184,1840
53,573,1177,1854
54,577,1187,1850
55,580,1185,1859
56,574,1188,1866
57,574,1188,1855
58,572,1191,1861
59,578,1176,1842
60,576,1184,1853
61,576,1188,1869
62,575,1194,1859
63,583,1204,1881
64,579,1204,1855
65,584,1179,1857
66,575,1189,1864
67,579,1208,1887
68,577,1216,1881
69,576,1201,1875
70,582,1181,1856
71,582,1186,1876
72,576,1195,1859
73,577,1189,1867
74,583,1214,1873
75,582,1192,1876
76,583,1189,1871
77,573,1202,1865
78,575,1199,1865
79,575,1200,1850
80,579,1193,1871
81,582,1202,1886
82,583,1199,1884
83,580,1181,1855
84,583,1187,1850
85,575,1180,1849
86,577,1183,1877
87,581,1211,1879
88,583,1195,1870
89,580,1201,1856
90,580,1205,1893
91,582,1212,1889
92,582,1214,1885
93,577,1211,1889
94,576,1220,1880
95,574,1201,1887
96,576,1203,1878
97,579,1213,1892
98,574,1203,1875
99,583,1190,1863
100,579,1184,1856
101,576,1185,1869
102,573,1192,1851
103,576,1184,1869
104,579,1190,1848
105,576,1177,1854
106,574,1185,1859
107,582,1190,1869
108,581,1194,1865
109,582,1188,1852
110,576,1186,1847
111,574,1181,1863
112,584,1211,1876
113,581,1197,1879
114,579,1213,1877
115,576,1200,1878
116,577,1203,1886
117,577,1217,1885
118,576,1214,1893
119,576,1210,1865
120,583,1180,1870
121,579,1182,1861
122,578,1197,1861
123,573,1188,1851
124,584,1189,1862
125,578,1175,1851
126,576,1180,1869
127,574,1191,1855
128,583,1188,1866
129,580,1180,1840
130,583,1178,1858
131,574,1182,1854
132,576,1197,1877
133,579,1204,1869
134,583,1191,1861
135,577,1198,1858
136,574,1191,1868
137,574,1211,1878
138,582,1207,1875
139,581,1180,1849
140,581,1188,1852
141,578,1208,1897
142,576,1220,1888
143,578,1209,1887
144,575,1202,1848
145,578,1173,1849
146,578,1165,1840
147,577,1185,1864
148,574,1196,1855
149,578,1183,1856
