num,red,green,blue
0,1255,1794,904
1,1269,1778,902
2,1254,1788,904
3,1258,1802,911
4,1266,1801,909
5,1253,1791,903
6,1263,1794,908
7,1260,1787,909
8,1264,1804,906
9,1257,1792,901
10,1259,1788,905
11,1257,1805,910
12,1263,1815,906
13,1267,1785,907
14,1260,1789,902
15,1251,1807,907
16,1265,1799,910
17,1268,1796,908
18,1254,1787,901
19,1263,1791,909
20,1265,1811,907
21,1255,1802,904
22,1264,1779,912
23,1261,1806,905
24,1254,1801,905
25,1272,1788,907
26,1259,1790,902
27,1256,1794,905
28,1269,1802,911
29,1270,1800,906
30,1254,1789,909
31,1262,1786,908
32,1261,1798,906
33,1267,1805,906
34,1274,1791,908
35,1260,1797,909
36,1258,1802,907
37,1259,1787,909
38,1267,1791,911
39,1261,1802,906
40,1267,1792,909
41,1270,1795,903
42,1251,1790,906
43,1270,1802,915
44,1271,1810,912
45,1267,1800,905
46,1259,1783,908
47,1262,1804,912
48,1265,1816,911
49,1264,1795,907
50,1269,1796,907
51,1249,1804,914
52,1265,1817,910
53,1280,1794,910
54,1266,1800,909
55,1252,1806,915
56,1272,1807,913
57,1271,1792,907
58,1259,1798,913
59,1254,1808,912
60,1270,1801,912
61,1269,1797,911
62,1262,1795,916
63,1269,1804,919
64,1271,1805,909
65,1260,1805,907
66,1271,1795,914
67,1271,1795,917
68,1276,1803,917
69,1271,1805,907
70,1263,1793,910
71,1264,1805,910
72,1267,1808,911
73,1274,1794,905
74,1250,1794,908
75,1262,1810,912
76,1277,1803,909
77,1261,1795,906
78,1265,1806,909
79,1283,1804,912
80,1262,1794,905
81,1258,1788,904
82,1270,1797,911
83,1266,1797,911
84,1271,1803,905
85,1270,1790,913
86,1263,1801,907
87,1267,1809,909
88,1273,1799,912
89,1269,1794,903
90,1258,1796,907
91,1267,1805,914
92,1276,1799,906
93,1269,1799,905
94,1264,1799,913
95,1275,1810,910
96,1262,1795,904
97,1263,1795,903
98,1268,1790,908
99,1272,1803,908
100,1267,1812,907
101,1279,1793,911
102,1271,1795,909
103,1258,1812,907
104,1281,1800,911
105,1275,1792,908
106,1260,1816,909
107,1272,1796,911
108,1272,1793,914
109,1265,1808,906
110,1262,1798,913
111,1274,1800,909
112,1266,1790,906
113,1258,1791,904
114,1268,1797,915
115,1270,1804,915
116,1268,1808,904
117,1269,1784,908
118,1265,1801,912
119,1263,1814,905
120,1276,1782,908
121,1263,1789,914
122,1259,1816,911
123,1272,1804,911
124,1272,1787,904
125,1266,1806,903
126,1261,1796,914
127,1271,1789,909
128,1269,1809,902
129,1256,1783,908
130,1259,1785,918
131,1264,1813,907
132,1270,1797,906
133,1270,1782,912
134,1255,1807,906
135,1259,1791,907
136,1273,1795,906
137,1253,1800,903
138,1254,1791,918
139,1269,1801,906
140,1259,1797,903
141,1267,1787,905
142,1262,1794,910
143,1265,1808,909
144,1272,1789,904
145,1267,1786,903
146,1255,1794,907
147,1264,1795,906
148,1269,1784,907
149,1266,1799,912
150,1262,1808,909
151,1263,1787,905
152,1264,1794,904
153,1260,1794,905
154,1263,1787,911
155,1261,1800,906
156,1251,1787,901
157,1269,1786,912
158,1258,1807,907
159,1264,1798,906
160,1272,1788,911
161,1259,1796,905
162,1256,1795,908
163,1262,1798,908
164,1251,1787,902
165,1264,1792,904
166,1274,1808,912
167,1261,1802,904
168,1262,1789,908
169,1255,1780,902
170,1248,1789,911
171,1267,1818,909
172,1267,1794,909
173,1264,1791,909
174,1253,1801,903
175,1268,1793,911
176,1273,1797,905
177,1263,1794,902
178,1269,1784,908
179,1261,1800,906
180,1253,1796,905
181,1275,1791,907
182,1265,1805,909
183,1248,1809,911
184,1278,1801,912
185,1267,1786,907
186,1257,1810,910
187,1264,1804,910
188,1272,1796,909
189,1263,1805,914
190,1263,1808,911
191,1264,1799,907
192,1266,1802,904
193,1265,1798,906
194,1271,1812,917
195,1258,1798,917
196,1265,1807,906
197,1273,1787,909
198,1262,1806,912
199,1255,1813,908
200,1277,1802,907
201,1265,1793,907
202,1248,1809,913
203,1272,1805,912
204,1269,1797,913
205,1267,1807,907
206,1257,1798,910
207,1277,1802,906
208,1266,1804,903
209,1252,1790,908
210,1268,1807,915
211,1282,1809,912
212,1265,1807,907
213,1274,1796,913
214,1264,1795,912
215,1282,1807,912
216,1278,1797,912
217,1270,1792,918
218,1262,1814,908
219,1268,1807,906
220,1277,1797,910
221,1267,1791,910
222,1268,1808,909
223,1267,1793,910
224,1269,1790,907
225,1258,1806,914
226,1279,1818,914
227,1267,1795,909
228,1267,1803,902
229,1269,1795,911
230,1271,1805,911
231,1257,1802,905
232,1265,1788,912
233,1271,1808,914
234,1269,1805,908
235,1263,1796,907
236,1274,1792,910
237,1264,1805,911
238,1259,1813,907
239,1283,1797,909
240,1265,1790,912
241,1260,1816,909
242,1269,1791,911
243,1268,1795,907
244,1263,1806,906
245,1258,1794,912
246,1268,1797,910
247,1264,1805,907
248,1266,1803,908
249,1258,1792,913
250,1266,1803,910
251,1267,1802,905
252,1266,1790,910
253,1263,1801,909
254,1265,1801,905
255,1269,1793,911
256,1260,1785,919
257,1258,1811,912
258,1281,1800,916
259,1269,1798,907
260,1260,1804,910
261,1272,1815,912
262,1282,1791,909
263,1262,1803,903
264,1242,1787,908
265,1270,1807,912
266,1281,1805,907
267,1263,1806,905
268,1261,1786,910
269,1265,1808,916
270,1269,1814,906
271,1269,1795,910
272,1264,1795,909
273,1258,1820,908
274,1273,1790,910
275,1265,1792,905
276,1261,1801,907
277,1265,1806,910
278,1278,1790,916
