num,red,green,blue
0,714,3764,3624
1,714,3750,3617
2,714,3779,3609
3,709,3771,3609
4,708,3761,3629
5,709,3774,3620
6,707,3786,3623
7,716,3767,3627
8,716,3786,3627
9,711,3793,3609
10,709,3794,3620
11,707,3789,3628
12,707,3785,3607
13,709,3796,3611
14,698,3768,3635
15,700,3780,3652
16,704,3794,3634
17,701,3797,3641
18,697,3799,3680
19,704,3878,3688
20,699,3890,3673
21,704,3833,3658
22,705,3819,3643
23,710,3980,3736
24,694,3827,3603
25,696,3774,3615
26,696,3760,3609
27,692,3766,3588
28,691,3744,3577
29,690,3743,3609
30,693,3779,3611
31,691,3799,3637
32,691,3758,3638
33,690,3766,3611
34,698,3801,3627
35,698,3796,3632
36,693,3790,3635
37,694,3817,3635
38,702,3835,3626
39,692,3795,3628
40,696,3817,3637
41,696,3810,3605
42,701,3792,3593
43,700,3780,3609
44,693,3818,3610
45,692,3822,3609
46,699,3776,3629
47,693,3789,3633
48,693,3799,3622
49,692,3790,3635
50,700,3772,3628
51,694,3789,3612
52,693,3795,3613
53,694,3805,3649
54,699,3820,3642
55,693,3814,3620
56,694,3840,3634
57,703,3796,3615
58,696,3816,3606
59,695,3834,3621
60,693,3804,3628
61,691,3794,3628
62,693,3790,3604
63,692,3808,3632
64,699,3781,3636
65,693,3774,3622
66,694,3791,3623
67,693,3804,3635
68,698,3796,3624
69,694,3827,3633
70,695,3832,3627
71,692,3788,3623
72,700,3803,3619
73,696,3816,3613
74,694,3811,3621
75,694,3794,3613
76,700,3809,3600
77,690,3829,3623
78,693,3792,3625
79,697,3763,3621
80,698,3789,3611
81,692,3782,3630
82,691,3777,3643
83,691,3813,3622
84,696,3795,3612
85,696,3784,3632
86,693,3800,3626
87,695,3829,3613
88,698,3832,3637
89,697,3823,3633
90,695,3827,3619
91,702,3839,3618
92,694,3802,3630
93,691,3776,3602
94,689,3800,3620
95,691,3822,3654
96,693,3835,3669
97,699,3823,3647
98,692,3802,3623
99,692,3803,3629
100,697,3804,3632
101,692,3831,3634
102,694,3841,3620
103,700,3784,3606
104,696,3797,3611
105,694,3808,3610
106,694,3789,3602
107,697,3788,3618
108,696,3789,3582
109,693,3794,3617
110,692,3782,3651
111,695,3797,3630
112,696,3811,3651
113,694,3827,3667
114,693,3820,3656
115,695,3842,3648
116,693,3850,3630
117,700,3794,3619
118,695,3790,3615
119,696,3816,3619
120,695,3827,3623
121,702,3809,3628
122,691,3819,3627
123,694,3828,3628
124,698,3773,3632
125,690,3767,3634
126,694,3809,3637
127,697,3781,3618
128,702,3796,3641
129,695,3805,3618
130,694,3797,3618
131,694,3821,3642
132,698,3816,3646
133,694,3815,3618
134,695,3846,3631
135,702,3806,3618
136,694,3796,3598
137,694,3808,3610
138,692,3825,3631
139,699,3800,3634
140,692,3794,3627
141,692,3794,3624
142,699,3764,3632
143,698,3773,3627
144,694,3831,3641
145,694,3835,3642
146,700,3788,3631
147,701,3842,3635
148,694,3837,3635
149,702,3805,3623
150,696,3812,3626
151,696,3821,3615
152,690,3804,3611
153,699,3789,3615
154,690,3787,3610
155,691,3785,3603
156,691,3780,3628
157,694,3770,3627
158,694,3768,3593
159,697,3737,3606
160,696,3761,3622
161,693,3785,3616
162,696,3808,3625
163,693,3793,3635
164,701,3813,3638
165,696,3809,3618
166,692,3823,3638
167,703,3796,3623
168,703,3796,3598
169,695,3826,3617
170,694,3824,3630
171,700,3811,3628
172,691,3837,3638
173,692,3797,3623
174,696,3766,3618
175,693,3781,3618
176,694,3809,3640
177,692,3817,3644
178,699,3798,3627
179,692,3800,3619
180,693,3839,3638
181,699,3830,3645
182,697,3821,3624
183,697,3847,3610
184,701,3794,3615
185,700,3803,3621
186,692,3802,3596
187,689,3789,3603
188,698,3791,3641
189,699,3796,3642
190,693,3818,3644
191,697,3793,3641
192,698,3788,3642
193,694,3787,3612
194,693,3815,3630
195,694,3807,3636
196,698,3794,3620
197,691,3807,3623
198,695,3823,3636
199,703,3822,3630
