num,red,green,blue
0,271,254,261
1,276,254,267
2,277,254,267
3,277,254,267
4,277,247,267
5,271,254,261
6,276,247,266
7,277,253,267
8,277,254,267
9,276,253,267
10,270,253,261
11,277,247,267
12,270,253,261
13,277,254,266
14,277,254,268
15,277,254,267
16,277,247,268
17,271,253,260
18,276,248,267
19,277,254,267
20,276,253,267
21,276,248,267
22,270,254,260
23,285,252,275
24,284,254,275
25,286,254,275
26,284,248,275
27,276,254,269
28,284,254,275
29,284,254,275
30,277,253,271
31,277,248,266
32,270,253,260
33,284,253,276
34,285,254,275
35,278,253,269
36,284,248,275
37,278,254,269
38,284,253,274
39,282,254,271
40,270,254,261
41,276,247,267
42,276,253,267
43,276,253,266
44,284,247,274
45,271,254,261
46,276,254,267
47,276,253,267
48,277,254,266
49,276,247,268
50,270,254,261
51,277,253,267
52,277,254,267
53,271,254,268
54,277,247,267
55,270,254,261
56,275,253,267
57,276,254,267
58,269,253,261
59,276,247,267
60,270,254,261
61,277,254,267
62,277,254,267
63,277,254,267
64,276,247,268
65,270,254,261
66,276,248,267
67,270,254,262
68,277,254,267
69,276,254,267
70,277,254,267
71,276,247,268
72,269,254,261
73,276,254,267
74,276,253,267
75,277,255,267
76,277,248,268
77,270,253,261
78,276,253,267
79,276,254,267
80,276,253,266
81,282,248,272
82,278,254,269
83,285,248,275
84,284,254,275
85,280,254,270
86,283,247,275
87,270,254,262
88,284,254,275
89,283,253,274
90,277,253,269
91,276,248,267
92,276,254,261
93,278,254,267
94,276,248,267
95,270,254,261
96,277,247,267
97,276,254,267
98,276,253,266
99,284,249,275
100,278,254,269
101,285,248,275
102,285,253,274
103,283,254,275
104,284,247,274
105,270,253,261
106,276,248,267
107,276,254,267
108,276,254,267
109,276,248,267
110,270,254,261
111,276,253,267
112,276,254,267
113,271,254,267
114,275,248,267
115,271,253,261
116,277,254,267
117,276,254,267
118,270,254,260
119,284,247,275
120,274,254,261
121,276,253,267
122,276,254,267
123,270,254,262
124,285,248,275
125,283,253,274
126,285,254,274
127,284,248,275
128,278,253,270
129,284,248,275
130,285,254,274
131,284,253,275
132,284,248,275
133,278,253,268
134,284,253,275
135,284,254,274
136,270,253,267
137,276,247,267
138,270,253,261
139,276,253,267
140,276,254,267
141,271,253,261
142,276,247,267
143,270,253,261
144,275,254,267
145,275,253,267
146,270,254,261
147,276,248,267
148,274,253,265
149,279,254,270
150,276,254,267
151,270,254,260
152,284,247,275
153,277,254,266
154,276,254,267
155,277,248,267
156,271,253,261
157,276,253,267
158,276,254,267
159,276,254,267
160,276,248,266
161,278,254,269
162,283,253,275
163,284,253,275
164,279,254,268
165,284,247,275
166,270,253,261
167,276,248,267
168,276,253,266
169,284,254,275
170,284,248,274
171,270,254,261
172,277,248,268
173,277,253,268
174,276,254,267
175,276,253,268
176,275,254,265
177,276,248,267
178,269,254,261
179,276,254,267
180,276,254,267
181,277,254,268
182,276,254,268
183,277,254,267
184,277,248,267
185,272,254,261
186,276,248,269
187,271,254,262
188,277,248,268
189,270,253,262
190,277,247,267
191,285,241,275
192,270,254,261
193,277,248,268
194,271,255,262
195,278,251,267
196,284,246,276
197,277,255,268
