num,red,green,blue
0,465,541,1130
1,467,539,1132
2,458,534,1129
3,457,534,1135
4,464,539,1146
5,462,538,1136
6,465,538,1148
7,466,528,1157
8,452,529,1154
9,459,534,1153
10,457,534,1147
11,458,533,1146
12,463,540,1145
13,462,539,1144
14,462,533,1141
15,456,533,1143
16,458,533,1140
17,463,541,1127
18,463,539,1143
19,458,533,1136
20,456,534,1136
21,466,534,1142
22,463,541,1133
23,463,539,1147
24,457,533,1148
25,459,534,1145
26,462,534,1142
27,463,540,1136
28,464,540,1139
29,462,533,1140
30,457,532,1135
31,457,534,1143
32,465,539,1144
33,463,540,1145
34,463,539,1146
35,464,533,1146
36,457,534,1143
37,456,533,1143
38,462,539,1134
39,461,538,1132
40,456,531,1131
41,455,532,1131
42,462,537,1131
43,461,538,1134
44,455,531,1130
45,457,532,1131
46,461,539,1134
47,463,538,1143
48,455,530,1134
49,457,532,1137
50,462,539,1144
51,462,537,1139
52,462,532,1137
53,454,531,1138
54,458,531,1140
55,462,538,1127
56,464,538,1134
57,457,532,1138
58,454,531,1137
59,464,538,1141
60,462,539,1141
61,456,533,1146
62,456,532,1136
63,457,531,1134
64,463,539,1135
65,464,538,1134
66,454,533,1140
67,456,531,1130
68,462,537,1133
69,461,539,1131
70,455,532,1134
71,457,532,1135
72,461,538,1133
73,463,538,1130
74,461,534,1129
75,454,532,1132
76,462,532,1136
77,462,537,1125
78,462,538,1133
79,458,533,1134
80,456,532,1149
81,462,538,1137
82,463,537,1134
83,461,535,1141
84,455,532,1140
85,455,532,1139
86,461,538,1138
87,464,538,1141
88,462,533,1142
89,457,533,1144
90,457,532,1145
91,460,538,1128
92,464,539,1133
93,458,533,1133
94,458,532,1136
95,456,532,1137
96,463,538,1128
97,463,539,1133
98,458,532,1132
99,458,532,1138
100,462,531,1134
101,463,537,1132
102,461,532,1139
103,458,532,1144
104,456,532,1139
105,460,537,1129
106,463,538,1131
107,457,533,1131
108,455,531,1135
109,461,538,1128
110,463,538,1132
111,458,533,1132
112,455,533,1130
113,461,534,1134
114,461,538,1138
115,463,538,1144
116,458,533,1144
117,456,533,1142
118,460,540,1142
119,461,539,1128
120,463,538,1143
121,456,534,1143
122,457,532,1141
123,461,539,1147
124,461,540,1140
125,457,532,1132
126,455,533,1132
127,463,538,1133
128,462,537,1133
129,461,532,1131
130,456,532,1140
131,464,532,1132
132,463,537,1131
133,462,539,1143
134,458,532,1143
135,455,533,1137
136,464,538,1142
137,463,538,1138
138,460,538,1136
139,457,531,1135
140,458,533,1144
141,463,538,1146
142,464,538,1147
143,462,532,1142
144,458,533,1139
145,456,535,1132
146,462,538,1136
147,462,538,1140
148,461,538,1136
149,459,533,1142
150,456,533,1136
151,462,538,1136
152,461,538,1131
153,463,531,1141
154,457,533,1142
155,463,532,1142
156,461,539,1143
157,462,538,1143
158,457,531,1138
159,456,533,1146
160,462,532,1142
161,460,539,1133
162,461,539,1136
163,457,532,1133
164,455,533,1134
165,461,538,1132
166,461,539,1136
167,457,532,1135
168,457,533,1142
169,461,533,1131
170,463,538,1143
171,461,532,1134
172,456,533,1139
173,455,533,1132
174,463,538,1126
175,461,538,1137
176,454,531,1143
177,457,531,1131
178,462,539,1134
179,463,538,1133
180,456,532,1135
181,456,532,1134
182,463,539,1133
183,461,539,1134
184,460,533,1146
185,457,532,1135
186,456,532,1133
187,461,538,1126
188,462,538,1133
189,457,532,1135
190,456,531,1133
191,463,537,1134
192,461,539,1142
193,463,532,1144
194,456,532,1147
195,455,532,1144
196,463,538,1126
197,462,540,1131
198,456,532,1134
199,456,532,1137
200,462,534,1134
